,C,Cu
0,0,67
1,0,56
2,2,47
3,4,62
4,2,61
5,4,61
6,2,59
7,4,73
8,5,68
9,4,51
10,4,71
11,4,58
12,4,66
13,4,43
14,6,60
15,4,50
16,4,65
17,4,67
18,0,59
19,5,65
20,9,42
21,4,51
22,3,66
23,9,69
24,2,69
25,4,76
26,7,61
27,6,66
28,1,60
29,2,52
30,1,59
31,1,60
32,2,56
33,3,59
34,4,71
35,8,56
36,6,72
37,2,69
38,4,57
39,5,58
40,3,53
41,2,59
42,1,54
43,3,49
44,1,54
45,3,63
46,0,61
47,0,63
48,2,64
49,3,55
50,1,61
51,0,65
52,5,64
53,1,72
54,2,48
55,2,55
56,4,59
57,2,67
58,7,68
59,5,61
60,5,51
61,4,68
62,2,64
63,1,64
64,1,59
65,1,54
66,4,51
67,8,65
68,3,61
69,13,56
70,8,65
71,4,57
72,9,61
73,4,69
74,8,64
75,15,58
76,8,65
77,7,66
78,2,64
79,3,54
80,4,65
81,1,55
82,5,61
83,3,59
84,13,62
85,7,65
86,5,65
87,6,57
88,8,68
89,4,60
90,12,63
91,3,53
92,6,51
93,4,59
94,5,68
95,3,58
96,1,59
97,1,61
98,1,67
99,3,55
100,0,51
101,6,53
102,6,58
103,6,52
104,4,66
105,5,62
106,6,52
107,4,59
108,1,56
109,0,64
110,3,57
111,5,66
112,5,63
113,3,78
114,2,64
115,4,59
116,3,62
117,3,63
118,4,58
119,1,70
120,4,56
121,3,55
122,4,65
123,5,61
124,6,35
125,3,56
126,2,64
127,1,57
128,5,64
129,4,53
130,7,53
131,3,48
132,9,43
133,0,37
134,0,28
135,0,24
136,0,28
137,0,40
138,0,24
139,0,36
140,1,31
141,1,35
142,0,29
143,0,42
144,8,34
145,3,35
146,3,37
147,2,22
148,0,40
149,4,33
150,4,39
151,4,30
152,2,37
153,6,32
154,4,40
155,1,31
156,6,33
157,5,38
158,3,22
159,8,36
160,3,46
161,1,31
162,4,33
163,5,43
164,5,40
165,7,38
166,3,29
167,10,33
168,10,26
169,7,28
170,7,42
171,5,45
172,1,26
173,2,31
174,4,36
175,5,46
176,6,31
177,11,31
178,19,31
179,24,33
180,25,24
181,35,21
182,31,26
183,34,20
184,67,23
185,104,17
186,120,6
187,131,4
188,132,6
189,116,1
190,139,6
191,149,5
192,134,7
193,128,9
194,57,22
195,106,19
196,97,13
197,87,11
198,78,16
199,89,11
200,151,7
201,147,3
202,127,4
203,114,5
204,112,5
205,105,4
206,107,7
207,103,3
208,68,14
209,66,6
210,75,13
211,84,8
212,77,4
213,77,4
214,74,3
215,98,4
216,97,7
217,105,2
218,95,4
219,94,7
220,103,3
221,113,8
222,97,2
223,95,3
224,95,8
225,118,6
226,105,4
227,115,3
228,110,3
229,93,6
230,87,7
231,86,5
232,85,9
233,102,6
234,79,11
235,63,7
236,89,5
237,69,13
238,74,5
239,59,7
240,47,8
241,67,11
242,79,9
243,58,18
244,59,5
245,71,7
246,79,9
247,78,11
248,91,8
249,68,18
250,72,8
251,73,8
252,91,11
253,60,10
254,58,6
255,69,11
